user,history_left_num,history_right_num,click_left_num,click_right_num,unclick_left_num,unclick_right_num,history_rate,u_group
U1,1,0,2,0,71,6,1.0,1
U100152,1,0,2,0,18,3,1.0,1
U100207,2,0,2,0,32,2,1.0,1
U100293,1,0,0,0,8,2,1.0,1
U100332,1,0,2,0,48,6,1.0,1
U100397,2,0,3,1,13,4,1.0,1
U100489,1,0,0,0,1,1,1.0,1
U100504,1,0,2,0,5,0,1.0,1
U100706,2,0,1,0,11,1,1.0,1
U10072,1,0,1,0,12,2,1.0,1
U100772,1,0,1,2,9,2,1.0,1
U100829,3,0,0,2,23,3,1.0,1
U10085,1,0,2,0,13,5,1.0,1
U100954,1,0,1,0,24,2,1.0,1
U100963,1,0,3,1,12,1,1.0,1
U100995,1,0,0,0,2,0,1.0,1
U101011,1,0,0,0,11,3,1.0,1
U101018,1,0,0,0,0,0,1.0,1
U101113,1,0,2,0,2,0,1.0,1
U101178,1,0,3,1,17,3,1.0,1
U10121,1,0,0,0,0,0,1.0,1
U101362,1,0,0,0,19,3,1.0,1
U101365,0,1,0,0,0,0,0.0,0
U10139,1,0,3,0,42,5,1.0,1
U101429,1,0,2,0,15,2,1.0,1
U101527,1,0,0,0,4,2,1.0,1
U10160,1,0,0,0,1,1,1.0,1
U101667,1,0,1,0,11,0,1.0,1
U101741,2,0,0,0,41,5,1.0,1
U101822,1,0,0,0,6,5,1.0,1
U101824,1,0,2,0,16,4,1.0,1
U101883,2,0,1,0,8,1,1.0,1
U101933,0,1,3,0,25,4,0.0,0
U101977,1,0,0,0,1,0,1.0,1
U102005,1,0,1,0,3,0,1.0,1
U10205,1,0,0,0,17,0,1.0,1
U102066,1,0,3,0,19,3,1.0,1
U102129,1,0,1,0,2,0,1.0,1
U102182,1,0,0,0,10,1,1.0,1
U102204,1,0,4,1,74,7,1.0,1
U102243,2,0,10,0,32,3,1.0,1
U102281,1,0,0,0,48,7,1.0,1
U102345,1,0,0,0,3,0,1.0,1
U102400,1,0,0,0,7,1,1.0,1
U102628,1,0,1,0,0,0,1.0,1
U102641,1,0,0,0,8,0,1.0,1
U102680,1,0,1,0,4,0,1.0,1
U102742,1,0,0,0,10,2,1.0,1
U102754,1,0,1,0,22,4,1.0,1
U10278,2,0,1,0,0,0,1.0,1
U102804,1,0,0,0,5,1,1.0,1
U102817,1,0,0,0,4,1,1.0,1
U102876,1,0,0,0,6,2,1.0,1
U102878,0,1,0,0,0,0,0.0,0
U102892,1,0,2,0,19,3,1.0,1
U102957,2,1,0,0,11,0,0.6666666666666666,1
U103006,2,0,1,0,32,4,1.0,1
U103138,1,0,2,0,14,1,1.0,1
U103141,1,0,1,1,60,4,1.0,1
U10324,2,0,5,0,20,4,1.0,1
U103346,1,0,2,1,15,2,1.0,1
U103349,2,1,5,0,32,3,0.6666666666666666,1
U103366,1,0,0,0,8,2,1.0,1
U103396,1,0,4,0,11,1,1.0,1
U10343,1,0,0,0,14,1,1.0,1
U103436,1,0,1,0,6,1,1.0,1
U103450,3,0,21,2,34,5,1.0,1
U103495,0,1,1,0,28,5,0.0,0
U103560,1,0,0,1,6,0,1.0,1
U103580,1,0,1,0,40,3,1.0,1
U103640,1,0,1,0,5,0,1.0,1
U103708,1,0,0,0,2,0,1.0,1
U103766,1,0,3,0,17,2,1.0,1
U103775,1,0,1,1,15,0,1.0,1
U103784,1,0,2,0,8,1,1.0,1
U103909,1,0,5,0,28,5,1.0,1
U103917,1,0,0,0,12,4,1.0,1
U103946,1,0,0,0,17,1,1.0,1
U103951,1,0,2,0,11,2,1.0,1
U103973,1,0,1,0,3,1,1.0,1
U10411,1,0,1,0,0,0,1.0,1
U104246,1,0,3,0,10,0,1.0,1
U104267,1,0,2,0,6,0,1.0,1
U104390,1,0,3,0,5,2,1.0,1
U104410,1,0,0,1,37,1,1.0,1
U104413,1,0,0,0,15,3,1.0,1
U104417,1,0,1,0,20,4,1.0,1
U104508,1,0,0,0,2,2,1.0,1
U104527,1,0,2,0,48,4,1.0,1
U104573,1,0,0,0,2,0,1.0,1
U104751,5,0,29,3,48,3,1.0,1
U104790,1,0,0,0,2,2,1.0,1
U104798,1,0,1,0,0,0,1.0,1
U104820,1,0,2,0,8,3,1.0,1
U104838,1,0,2,0,46,6,1.0,1
U104841,1,0,6,1,19,2,1.0,1
U104974,1,0,3,0,41,7,1.0,1
U105015,1,0,3,0,14,1,1.0,1
U105109,1,0,5,2,6,0,1.0,1
U105114,1,0,0,0,9,0,1.0,1
U105221,1,0,0,0,2,1,1.0,1
U105225,1,0,0,0,2,0,1.0,1
U105318,1,0,3,0,14,0,1.0,1
U105439,1,0,0,0,6,0,1.0,1
U105447,0,1,0,0,2,0,0.0,0
U105475,1,0,5,0,12,0,1.0,1
U10550,1,1,0,0,1,0,0.5,1
U105516,4,0,3,0,9,3,1.0,1
U105613,1,0,0,0,11,3,1.0,1
U105616,1,0,1,0,22,2,1.0,1
U105640,1,0,1,0,3,2,1.0,1
U10570,1,0,0,0,3,1,1.0,1
U105878,1,0,2,0,59,7,1.0,1
U105892,1,0,3,0,19,5,1.0,1
U105910,1,0,0,0,25,9,1.0,1
U105930,1,0,0,0,14,1,1.0,1
U106035,4,0,4,0,38,1,1.0,1
U106037,3,0,15,0,46,7,1.0,1
U106054,1,0,1,2,33,2,1.0,1
U106077,1,0,0,0,1,0,1.0,1
U10613,1,0,0,0,0,0,1.0,1
U106141,1,0,0,1,12,2,1.0,1
U106243,1,0,0,0,1,0,1.0,1
U106254,1,0,1,0,0,0,1.0,1
U106429,2,0,3,0,31,7,1.0,1
U10644,1,0,0,0,8,1,1.0,1
U10647,1,0,2,0,16,3,1.0,1
U106472,4,0,9,1,15,5,1.0,1
U106492,1,0,4,1,40,2,1.0,1
U106493,1,0,0,0,2,1,1.0,1
U106555,1,0,7,0,9,0,1.0,1
U106557,2,0,1,0,9,3,1.0,1
U106562,1,0,0,3,8,0,1.0,1
U106566,1,0,0,0,10,0,1.0,1
U106599,1,0,7,3,22,1,1.0,1
U106762,1,0,0,0,8,2,1.0,1
U106806,1,0,0,0,0,0,1.0,1
U106913,1,0,4,0,29,0,1.0,1
U106914,1,0,0,0,2,0,1.0,1
U106980,1,0,0,0,11,0,1.0,1
U106994,0,1,1,1,45,3,0.0,0
U107004,0,1,4,1,35,2,0.0,0
U10706,1,0,0,0,37,0,1.0,1
U107107,1,0,0,0,17,0,1.0,1
U107109,1,0,0,0,60,5,1.0,1
U107312,1,0,0,0,10,4,1.0,1
U107314,1,0,0,0,15,1,1.0,1
U10741,1,0,0,0,28,3,1.0,1
U107446,1,0,3,0,5,0,1.0,1
U107529,1,0,0,0,11,2,1.0,1
U107591,1,0,3,1,47,4,1.0,1
U107628,1,0,0,0,4,0,1.0,1
U107640,1,0,0,0,0,0,1.0,1
U107693,1,0,0,0,1,0,1.0,1
U107790,2,1,3,0,19,0,0.6666666666666666,1
U107879,1,0,1,0,33,7,1.0,1
U107880,1,0,0,0,22,3,1.0,1
U107897,1,0,1,0,6,1,1.0,1
U108084,2,0,0,0,13,0,1.0,1
