user,t_group,history_left_num,history_right_num,click_left_num,click_right_num,unclick_left_num,unclick_right_num,history_rate
U1,1,1,0,1,0,59,5,1.0
U100152,1,1,0,2,0,12,1,1.0
U100207,1,2,0,1,0,19,1,1.0
U100293,1,1,0,0,0,0,0,1.0
U100332,1,1,0,2,0,46,5,1.0
U100397,1,2,0,2,0,4,1,1.0
U100489,1,1,0,0,0,1,0,1.0
U100504,1,1,0,0,0,0,0,1.0
U100706,1,2,0,0,0,8,0,1.0
U10072,1,1,0,0,0,7,2,1.0
U100772,1,1,0,1,1,4,0,1.0
U100829,1,3,0,0,2,13,3,1.0
U10085,1,1,0,0,0,1,1,1.0
U100954,1,1,0,1,0,24,2,1.0
U100963,1,1,0,1,1,9,1,1.0
U101011,1,1,0,0,0,0,0,1.0
U101018,1,1,0,0,0,0,0,1.0
U101113,1,1,0,2,0,2,0,1.0
U101178,1,1,0,0,0,4,1,1.0
U101362,1,1,0,0,0,7,1,1.0
U101365,1,0,1,0,0,0,0,0.0
U10139,1,1,0,2,0,23,2,1.0
U101429,1,1,0,2,0,11,1,1.0
U101527,1,1,0,0,0,1,1,1.0
U10160,1,1,0,0,0,1,0,1.0
U101667,1,1,0,1,0,7,0,1.0
U101741,1,2,0,0,0,33,4,1.0
U101824,1,1,0,0,0,2,0,1.0
U101883,1,2,0,1,0,8,1,1.0
U101933,1,0,1,0,0,1,0,0.0
U101977,1,1,0,0,0,0,0,1.0
U10205,1,1,0,0,0,17,0,1.0
U102066,1,1,0,0,0,10,1,1.0
U102129,1,1,0,0,0,2,0,1.0
U102204,1,1,0,3,0,33,4,1.0
U102243,1,2,0,8,0,21,0,1.0
U102281,1,1,0,0,0,48,7,1.0
U102345,1,1,0,0,0,2,0,1.0
U102400,1,1,0,0,0,2,0,1.0
U102628,1,1,0,0,0,0,0,1.0
U102680,1,1,0,0,0,0,0,1.0
U102742,1,1,0,0,0,1,0,1.0
U102754,1,1,0,1,0,18,4,1.0
U10278,1,2,0,1,0,0,0,1.0
U102804,1,1,0,0,0,5,0,1.0
U102817,1,1,0,0,0,4,1,1.0
U102876,1,1,0,0,0,6,2,1.0
U102892,1,1,0,2,0,14,3,1.0
U103006,1,2,0,1,0,25,4,1.0
U103138,1,1,0,2,0,11,0,1.0
U103141,1,1,0,1,0,46,4,1.0
U10324,1,2,0,2,0,1,0,1.0
